Entity,Code,"Plastic waste generation (tonnes, total)","Plastic waste generation (million tonnes, total)"
Saudi Arabia,SAU,1561618,1.561618
Senegal,SEN,485586,0.485586
Seychelles,SYC,11730,0.01173
Sierra Leone,SLE,96655,0.096655
Singapore,SGP,359483,0.359483
Sint Maarten (Dutch part),SXM,3263,0.003263
Slovenia,SVN,108421,0.108421
Solomon Islands,SLB,19842,0.019842
Somalia,SOM,237569,0.237569
South Africa,ZAF,4465798,4.465798
South Korea,KOR,2025772,2.025772
Spain,ESP,4709157,4.709157
Sri Lanka,LKA,2621606,2.621606
Sudan,SDN,1292740,1.29274
Suriname,SUR,31300,0.0313
Sweden,SWE,164305,0.164305
Syria,SYR,1365594,1.365594
Tanzania,TZA,386998,0.386998
Thailand,THA,3532495,3.532495
Togo,TGO,135294,0.135294
Tonga,TON,8476,0.008476
Trinidad and Tobago,TTO,1745123,1.745123
Tunisia,TUN,559235,0.559235
Turkey,TUR,5596657,5.596657
Turks and Caicos Islands,TCA,2851,0.002851
Tuvalu,TUV,554,0.000554
Ukraine,UKR,1724509,1.724509
United Arab Emirates,ARE,600741,0.600741
United Kingdom,GBR,4925590,4.92559
United States,USA,37825550,37.82555
Uruguay,URY,310379,0.310379
Vanuatu,VUT,25443,0.025443
Venezuela,VEN,2669998,2.669998
Vietnam,VNM,3268227,3.268227
Yemen,YEM,887497,0.887497
